date,Middle BBand,Upper BBand,Lower BBand,EMA,RSI,SMA,MACD Signal,MACD,Closing Price
2021-02-11 08:00:00,21.2444,21.6064,20.8824,21.1978,45.9429,21.2444,-0.0401,-0.0583,20.9857
2021-02-11 07:00:00,21.2541,21.6032,20.905,21.2124,48.3648,21.2541,-0.0356,-0.0478,21.1139
2021-02-11 06:00:00,21.2636,21.6125,20.9147,21.2192,48.1616,21.2636,-0.0325,-0.0468,21.104
2021-02-11 05:00:00,21.2712,21.6157,20.9266,21.2272,45.4646,21.2712,-0.0289,-0.0439,20.9758
2021-02-10 20:00:00,21.2889,21.6255,20.9523,21.2445,49.0715,21.2889,-0.0252,-0.0265,21.1632
2021-02-10 19:00:00,21.3044,21.6586,20.9502,21.2501,50.4983,21.3044,-0.0249,-0.0229,21.2322
2021-02-10 18:00:00,21.3165,21.6848,20.9483,21.2514,50.2988,21.3165,-0.0254,-0.0251,21.2224
2021-02-10 17:00:00,21.3353,21.738,20.9325,21.2534,50.1043,21.3353,-0.0254,-0.0264,21.2125
2021-02-10 16:00:00,21.3527,21.7773,20.9281,21.2562,51.567,21.3527,-0.0252,-0.0268,21.2865
2021-02-10 15:00:00,21.367,21.8102,20.9238,21.2541,50.4483,21.367,-0.0248,-0.0344,21.2273
2021-02-10 14:00:00,21.3833,21.8404,20.9261,21.2559,49.413,21.3833,-0.0224,-0.0376,21.173
2021-02-10 13:00:00,21.4017,21.8681,20.9354,21.2617,51.7286,21.4017,-0.0186,-0.0356,21.2933
2021-02-10 12:00:00,21.4148,21.8902,20.9394,21.2595,52.9707,21.4148,-0.0143,-0.0448,21.3555
2021-02-10 11:00:00,21.4225,21.9013,20.9438,21.2529,48.4167,21.4225,-0.0067,-0.0622,21.1188
2021-02-10 10:00:00,21.4422,21.9178,20.9665,21.2621,48.7973,21.4422,0.0072,-0.0594,21.1385
2021-02-10 09:00:00,21.4484,21.9127,20.9841,21.2706,45.3722,21.4484,0.0238,-0.0569,20.9758
2021-02-10 08:00:00,21.461,21.8927,21.0293,21.291,44.7223,21.461,0.044,-0.0364,20.9462
2021-02-10 07:00:00,21.4679,21.8722,21.0636,21.3147,44.2953,21.4679,0.0641,-0.0067,20.9265
2021-02-10 06:00:00,21.4695,21.8654,21.0737,21.3415,48.8563,21.4695,0.0818,0.0334,21.173
2021-02-10 05:00:00,21.462,21.8877,21.0362,21.3531,50.8822,21.462,0.0939,0.0589,21.2717
2021-02-09 20:00:00,21.4521,21.9077,20.9965,21.3587,55.0767,21.4521,0.1027,0.0806,21.459
2021-02-09 19:00:00,21.4301,21.9425,20.9177,21.3518,57.7406,21.4301,0.1082,0.088,21.5675
2021-02-09 18:00:00,21.4025,21.9688,20.8362,21.3369,56.823,21.4025,0.1132,0.0851,21.5182
2021-02-09 17:00:00,21.369,22.0171,20.7208,21.3244,55.5158,21.369,0.1203,0.0852,21.4492
2021-02-09 16:00:00,21.3381,22.0529,20.6232,21.3158,55.5158,21.3381,0.129,0.0912,21.4492
2021-02-09 15:00:00,21.3075,22.077,20.5379,21.3066,56.7779,21.3075,0.1385,0.0975,21.5034
2021-02-09 14:00:00,21.2744,22.0912,20.4577,21.2931,56.4297,21.2744,0.1488,0.0986,21.4837
2021-02-09 13:00:00,21.2424,22.0983,20.3865,21.2799,56.0014,21.2424,0.1613,0.1005,21.459
2021-02-09 12:00:00,21.2097,22.1041,20.3153,21.2676,52.9258,21.2097,0.1765,0.104,21.2895
2021-02-09 11:00:00,21.1825,22.1144,20.2505,21.2661,52.3052,21.1825,0.1946,0.1243,21.2569
2021-02-09 10:00:00,21.157,22.1206,20.1933,21.2667,52.7111,21.157,0.2122,0.1516,21.2766
2021-02-09 09:00:00,21.1292,22.125,20.1334,21.266,55.3038,21.1292,0.2274,0.1823,21.3999
2021-02-09 08:00:00,21.098,22.1164,20.0796,21.2568,54.0812,21.098,0.2386,0.2063,21.3308
2021-02-09 07:00:00,21.0729,22.104,20.0418,21.2517,58.0268,21.0729,0.2467,0.241,21.5083
2021-02-09 06:00:00,21.0447,22.073,20.0164,21.234,60.8897,21.0447,0.2481,0.2637,21.6267
2021-02-09 05:00:00,21.0157,22.0256,20.0059,21.2069,60.4178,21.0157,0.2442,0.2767,21.5971
2021-02-08 20:00:00,20.9871,21.9779,19.9964,21.18,65.2373,20.9871,0.2361,0.2923,21.7845
2021-02-08 19:00:00,20.9546,21.9017,20.0075,21.1383,64.5173,20.9546,0.222,0.2889,21.7352
2021-02-08 18:00:00,20.9191,21.8254,20.0128,21.0971,64.2308,20.9191,0.2053,0.2854,21.7154
2021-02-08 17:00:00,20.8849,21.7447,20.0251,21.0545,64.2308,20.8849,0.1853,0.2788,21.7154
2021-02-08 16:00:00,20.8501,21.6554,20.0447,21.0089,64.518,20.8501,0.162,0.2662,21.7271
2021-02-08 15:00:00,20.8148,21.5533,20.0764,20.9594,63.9663,20.8148,0.1359,0.2452,21.6859
2021-02-08 14:00:00,20.7806,21.446,20.1153,20.9093,62.6223,20.7806,0.1086,0.219,21.5872
2021-02-08 13:00:00,20.7511,21.3455,20.1567,20.8625,65.5061,20.7511,0.0809,0.1924,21.7077
2021-02-08 12:00:00,20.715,21.1927,20.2373,20.8042,59.8381,20.715,0.0531,0.1434,21.3259
2021-02-08 11:00:00,20.6943,21.1147,20.2739,20.7682,60.521,20.6943,0.0305,0.1176,21.353
2021-02-08 10:00:00,20.6709,21.0128,20.3289,20.7279,57.0302,20.6709,0.0087,0.0802,21.1533
2021-02-08 09:00:00,20.6511,20.9443,20.358,20.6986,53.4969,20.6511,-0.0091,0.0517,20.9758
2021-02-08 08:00:00,20.6376,20.906,20.3692,20.6794,52.8726,20.6376,-0.0243,0.0326,20.9462
2021-02-08 07:00:00,20.631,20.8777,20.3844,20.661,53.5678,20.631,-0.0386,0.0107,20.9758
2021-02-08 06:00:00,20.6268,20.8529,20.4006,20.6393,49.7345,20.6268,-0.0509,-0.0203,20.7983
2021-02-08 05:00:00,20.6261,20.8504,20.4018,20.6284,48.3608,20.6261,-0.0585,-0.0416,20.7391
2021-02-05 20:00:00,20.6218,20.8422,20.4015,20.6207,42.5421,20.6218,-0.0628,-0.0621,20.5123
2021-02-05 19:00:00,20.6294,20.8498,20.409,20.6282,42.7466,20.6294,-0.0629,-0.0642,20.5223
2021-02-05 18:00:00,20.6346,20.8521,20.4172,20.6355,42.9421,20.6346,-0.0626,-0.0671,20.532
2021-02-05 17:00:00,20.6507,20.904,20.3975,20.6427,42.4278,20.6507,-0.0615,-0.0708,20.5123
2021-02-05 16:00:00,20.6662,20.9396,20.3928,20.6516,42.6134,20.6662,-0.0592,-0.0724,20.5222
2021-02-05 15:00:00,20.68,20.9645,20.3955,20.6606,41.4998,20.68,-0.0559,-0.0744,20.4778
2021-02-05 14:00:00,20.6992,21.0037,20.3947,20.6732,41.3777,20.6992,-0.0512,-0.0714,20.4729
2021-02-05 13:00:00,20.7153,21.0214,20.4093,20.687,41.7145,20.7153,-0.0462,-0.0661,20.4926
2021-02-05 12:00:00,20.7288,21.03,20.4277,20.7004,40.5423,20.7288,-0.0412,-0.0603,20.4432
2021-02-05 11:00:00,20.7405,21.023,20.4579,20.7181,40.861,20.7405,-0.0364,-0.047,20.463
2021-02-05 10:00:00,20.7517,21.0153,20.488,20.7357,42.7724,20.7517,-0.0338,-0.0313,20.5796
2021-02-05 09:00:00,20.7602,21.0174,20.5029,20.7465,44.1541,20.7602,-0.0344,-0.0227,20.6602
2021-02-05 08:00:00,20.7646,21.0194,20.5098,20.7524,45.9066,20.7646,-0.0373,-0.0197,20.7589
2021-02-05 07:00:00,20.7567,21.026,20.4874,20.752,45.4883,20.7567,-0.0417,-0.0255,20.7391
2021-02-05 06:00:00,20.7485,21.0339,20.463,20.7529,46.7104,20.7485,-0.0458,-0.0306,20.8082
2021-02-05 05:00:00,20.7383,21.0361,20.4405,20.7491,43.7909,20.7383,-0.0496,-0.0437,20.6701
2021-02-04 20:00:00,20.7297,21.0488,20.4107,20.7545,44.1247,20.7297,-0.051,-0.0457,20.6898
2021-02-04 19:00:00,20.7228,21.0538,20.3919,20.759,43.7099,20.7228,-0.0523,-0.0496,20.6701
2021-02-04 18:00:00,20.7117,21.0705,20.3528,20.7651,43.7099,20.7117,-0.053,-0.0519,20.6701
2021-02-04 17:00:00,20.712,21.0707,20.3533,20.7717,43.514,20.712,-0.0533,-0.054,20.6602
2021-02-04 16:00:00,20.7113,21.0705,20.3522,20.7794,44.1076,20.7113,-0.0532,-0.0549,20.6997
2021-02-04 15:00:00,20.711,21.0702,20.3518,20.7849,42.6905,20.711,-0.0527,-0.0593,20.6257
2021-02-04 14:00:00,20.7079,21.0716,20.3442,20.7958,43.8365,20.7079,-0.0511,-0.0565,20.7046
2021-02-04 13:00:00,20.6998,21.074,20.3256,20.8021,42.8164,20.6998,-0.0498,-0.0601,20.6504
2021-02-04 12:00:00,20.6936,21.077,20.3102,20.8126,41.1247,20.6936,-0.0472,-0.0584,20.5616
2021-02-04 11:00:00,20.6924,21.0776,20.3072,20.8299,41.2309,20.6924,-0.0444,-0.0462,20.5696
2021-02-04 10:00:00,20.6904,21.0788,20.3019,20.8478,43.6774,20.6904,-0.044,-0.0309,20.749
2021-02-04 09:00:00,20.6805,21.0774,20.2835,20.8547,45.0995,20.6805,-0.0472,-0.0291,20.8476
2021-02-04 08:00:00,20.6677,21.067,20.2683,20.8551,43.8627,20.6677,-0.0517,-0.0365,20.7786
2021-02-04 07:00:00,20.6558,21.0623,20.2493,20.8604,40.7278,20.6558,-0.0555,-0.0384,20.6109
2021-02-04 06:00:00,20.669,21.0939,20.2441,20.8776,42.4815,20.669,-0.0598,-0.0231,20.7391
2021-02-04 05:00:00,20.6736,21.1044,20.2428,20.8872,41.3549,20.6736,-0.069,-0.0164,20.68
2021-02-03 20:00:00,20.6795,21.1154,20.2437,20.9015,46.3251,20.6795,-0.0822,-0.0015,21.0153
2021-02-03 19:00:00,20.6792,21.114,20.2443,20.8936,45.5813,20.6792,-0.1023,-0.0166,20.9758
2021-02-03 18:00:00,20.6779,21.1094,20.2464,20.8879,44.8424,20.6779,-0.1238,-0.0317,20.9364
2021-02-03 17:00:00,20.7101,21.321,20.0992,20.8846,46.6805,20.7101,-0.1468,-0.0464,21.0547
2021-02-03 16:00:00,20.7384,21.4758,20.0009,20.8729,44.8598,20.7384,-0.1719,-0.0766,20.9561
2021-02-03 15:00:00,20.7706,21.6193,19.9218,20.8671,43.7457,20.7706,-0.1957,-0.1039,20.8969
2021-02-03 14:00:00,20.8008,21.7266,19.8751,20.8651,41.7549,20.8008,-0.2186,-0.1313,20.7934
2021-02-03 13:00:00,20.8378,21.8445,19.8311,20.87,41.8231,20.8378,-0.2404,-0.1538,20.7983
2021-02-03 12:00:00,20.8728,21.9427,19.8029,20.875,42.3062,20.8728,-0.2621,-0.1808,20.834
2021-02-03 11:00:00,20.9051,22.0258,19.7845,20.8778,41.5635,20.9051,-0.2824,-0.2162,20.7934
2021-02-03 10:00:00,20.9347,22.0884,19.7811,20.8836,36.2683,20.9347,-0.299,-0.2542,20.5221
2021-02-03 09:00:00,20.9711,22.139,19.8031,20.9086,35.6557,20.9711,-0.3102,-0.2713,20.4926
2021-02-03 08:00:00,21.0095,22.1879,19.8312,20.9372,35.7668,21.0095,-0.3199,-0.2862,20.5025
2021-02-03 07:00:00,21.0493,22.237,19.8616,20.9672,33.9763,21.0493,-0.3283,-0.302,20.4137
2021-02-03 06:00:00,21.0996,22.3031,19.8961,21.0054,34.7036,21.0996,-0.3349,-0.3088,20.4827
2021-02-03 05:00:00,21.1509,22.3757,19.926,21.0415,31.6738,21.1509,-0.3414,-0.3201,20.3348
2021-02-02 20:00:00,21.2081,22.4354,19.9807,21.0902,35.3763,21.2081,-0.3467,-0.3147,20.68
2021-02-02 19:00:00,21.2518,22.4941,20.0094,21.1185,34.5308,21.2518,-0.3548,-0.3383,20.6405
2021-02-02 18:00:00,21.2932,22.5341,20.0523,21.1514,35.0855,21.2932,-0.3589,-0.3596,20.6898
2021-02-02 17:00:00,21.3349,22.5761,20.0938,21.1833,31.6914,21.3349,-0.3587,-0.3866,20.532
2021-02-02 16:00:00,21.381,22.6019,20.1601,21.2282,30.1468,21.381,-0.3517,-0.3993,20.463
2021-02-02 15:00:00,21.4303,22.6179,20.2426,21.281,30.1468,21.4303,-0.3398,-0.4027,20.463
2021-02-02 14:00:00,21.4773,22.6188,20.3357,21.3374,30.7501,21.4773,-0.324,-0.4012,20.5271
2021-02-02 13:00:00,21.5238,22.6195,20.4281,21.3932,30.3354,21.5238,-0.3047,-0.4,20.5074
2021-02-02 12:00:00,21.5678,22.601,20.5347,21.4543,29.2085,21.5678,-0.2809,-0.3906,20.4531
2021-02-02 11:00:00,21.6149,22.5659,20.6638,21.5234,29.2918,21.6149,-0.2535,-0.3674,20.463
2021-02-02 10:00:00,21.6617,22.5146,20.8088,21.5965,28.5035,21.6617,-0.225,-0.3334,20.4236
2021-02-02 09:00:00,21.7177,22.4503,20.9852,21.6774,33.8903,21.7177,-0.1979,-0.2812,21.0054
2021-02-02 08:00:00,21.7595,22.4673,21.0517,21.7238,31.1176,21.7595,-0.1771,-0.2697,20.8772
2021-02-02 07:00:00,21.8072,22.4614,21.1529,21.7821,30.6853,21.8072,-0.154,-0.238,20.8575
2021-02-02 06:00:00,21.8528,22.4213,21.2844,21.8459,32.1482,21.8528,-0.133,-0.1922,21.0054
2021-02-02 05:00:00,21.8936,22.383,21.4042,21.9039,30.6568,21.8936,-0.1182,-0.1459,20.9364
2021-02-01 20:00:00,21.9386,22.299,21.5783,21.9706,43.6367,21.9386,-0.1112,-0.0777,21.9028
2021-02-01 19:00:00,21.9531,22.3404,21.5658,21.9753,43.6385,21.9531,-0.1196,-0.0879,21.9029
2021-02-01 18:00:00,21.9672,22.3765,21.558,21.9803,43.992,21.9672,-0.1276,-0.0996,21.9225
2021-02-01 17:00:00,21.9863,22.4367,21.5359,21.9843,41.2167,21.9863,-0.1346,-0.1152,21.8042
2021-02-01 16:00:00,22.0093,22.4897,21.529,21.9967,42.9303,22.0093,-0.1394,-0.1213,21.9028
2021-02-01 15:00:00,22.0336,22.5615,21.5058,22.0031,41.6403,22.0336,-0.144,-0.1374,21.8486
2021-02-01 14:00:00,22.0565,22.6091,21.5039,22.0138,40.578,22.0565,-0.1456,-0.1504,21.8042
2021-02-01 13:00:00,22.0811,22.6522,21.5101,22.0283,37.5242,22.0811,-0.1444,-0.1603,21.6809
2021-02-01 12:00:00,22.1134,22.6993,21.5274,22.0522,35.7364,22.1134,-0.1404,-0.1581,21.6119
2021-02-01 11:00:00,22.147,22.7298,21.5642,22.0826,36.2376,22.147,-0.136,-0.1459,21.6464
2021-02-01 10:00:00,22.1733,22.7341,21.6124,22.1127,36.9533,22.1733,-0.1335,-0.1318,21.6957
2021-02-01 09:00:00,22.1999,22.7431,21.6567,22.1414,40.5111,22.1999,-0.134,-0.1168,21.9225
