date,Lower BBand,Middle BBand,Upper BBand,EMA,RSI,SMA,MACD,MACD Signal,Closing Price
2021-02-08 19:00:00,34.7098,34.9098,35.1098,34.8865,42.6819,34.9098,-0.0523,-0.041,34.77
2021-02-08 18:00:00,34.7213,34.9181,35.115,34.8946,42.9442,34.9181,-0.0512,-0.0382,34.78
2021-02-08 17:00:00,34.7319,34.9221,35.1123,34.9025,42.9442,34.9221,-0.05,-0.035,34.78
2021-02-08 16:00:00,34.7413,34.9251,35.109,34.9109,43.6968,34.9251,-0.0478,-0.0312,34.81
2021-02-08 15:00:00,34.7484,34.9278,35.1072,34.9179,42.8905,34.9278,-0.0474,-0.027,34.785
2021-02-08 14:00:00,34.7609,34.9323,35.1037,34.927,42.251,34.9323,-0.0436,-0.022,34.765
2021-02-08 13:00:00,34.7758,34.9365,35.0972,34.9382,42.6434,34.9365,-0.0362,-0.0165,34.782
2021-02-08 12:00:00,34.7905,34.9409,35.0913,34.949,41.9692,34.9409,-0.0278,-0.0116,34.76
2021-02-08 11:00:00,34.8132,34.9484,35.0836,34.962,43.6416,34.9484,-0.0145,-0.0076,34.8342
2021-02-08 10:00:00,34.8172,34.9494,35.0816,34.9708,43.8877,34.9494,-0.0049,-0.0058,34.845
2021-02-08 09:00:00,34.8242,34.9516,35.0789,34.9795,47.353,34.9516,0.0064,-0.0061,34.99
2021-02-08 08:00:00,34.8204,34.9484,35.0765,34.9788,47.353,34.9484,0.0059,-0.0092,34.99
2021-02-08 07:00:00,34.8196,34.9468,35.0739,34.978,49.102,34.9468,0.0053,-0.013,35.06
2021-02-08 06:00:00,34.823,34.9448,35.0665,34.9723,49.865,34.9448,-0.0028,-0.0176,35.09
2021-02-08 05:00:00,34.8305,34.9418,35.053,34.9642,48.8403,34.9418,-0.0161,-0.0213,35.05
2021-02-05 20:00:00,34.834,34.9401,35.0462,34.9583,43.8482,34.9401,-0.0288,-0.0226,34.87
2021-02-05 19:00:00,34.8317,34.9474,35.0631,34.9644,43.8482,34.9474,-0.0263,-0.021,34.87
2021-02-05 18:00:00,34.8341,34.9541,35.0741,34.9709,44.0715,34.9541,-0.0227,-0.0197,34.88
2021-02-05 17:00:00,34.8352,34.9544,35.0737,34.9772,44.5096,34.9544,-0.0187,-0.0189,34.9
2021-02-05 16:00:00,34.8342,34.9541,35.074,34.9825,45.0508,34.9541,-0.0154,-0.019,34.925
2021-02-05 15:00:00,34.8312,34.9529,35.0746,34.9864,44.7912,34.9529,-0.0136,-0.0199,34.915
2021-02-05 14:00:00,34.8242,34.9508,35.0773,34.9914,45.2666,34.9508,-0.01,-0.0214,34.938
2021-02-05 13:00:00,34.8149,34.9475,35.0801,34.9951,46.236,34.9475,-0.0076,-0.0243,34.985
2021-02-05 12:00:00,34.8121,34.9448,35.0775,34.9957,46.6469,34.9448,-0.0093,-0.0285,35.005
2021-02-05 11:00:00,34.8124,34.9433,35.0743,34.9951,47.5663,34.9433,-0.0133,-0.0333,35.05
2021-02-05 10:00:00,34.8029,34.9355,35.0681,34.9913,44.3875,34.9355,-0.0228,-0.0383,34.915
2021-02-05 09:00:00,34.8004,34.9343,35.0682,34.9966,45.6764,34.9343,-0.0209,-0.0421,34.98
2021-02-05 08:00:00,34.8003,34.9332,35.0661,34.9977,46.0743,34.9332,-0.0247,-0.0474,35.0
2021-02-05 07:00:00,34.79,34.9372,35.0843,34.9976,45.8462,34.9372,-0.0312,-0.0531,34.99
2021-02-05 06:00:00,34.7762,34.9428,35.1095,34.9981,45.624,34.9428,-0.0381,-0.0586,34.98
2021-02-05 05:00:00,34.7685,34.9478,35.1272,34.9993,46.3597,34.9478,-0.0454,-0.0637,35.02
2021-02-04 20:00:00,34.7556,34.9535,35.1514,34.9979,43.7282,34.9535,-0.058,-0.0683,34.9
2021-02-04 19:00:00,34.7388,34.9658,35.1928,35.0047,43.053,34.9658,-0.0611,-0.0709,34.87
2021-02-04 18:00:00,34.7338,34.9782,35.2225,35.014,43.3885,34.9782,-0.0611,-0.0733,34.89
2021-02-04 17:00:00,34.7397,34.9845,35.2292,35.0225,43.8844,34.9845,-0.0622,-0.0764,34.92
2021-02-04 16:00:00,34.7433,34.9908,35.2384,35.0296,43.2575,34.9908,-0.0658,-0.0799,34.89
2021-02-04 15:00:00,34.7496,34.9985,35.2473,35.0392,43.6503,34.9985,-0.0664,-0.0834,34.915
2021-02-04 14:00:00,34.7552,35.0023,35.2494,35.0478,44.7501,35.0023,-0.0687,-0.0877,34.985
2021-02-04 13:00:00,34.7554,35.0025,35.2496,35.0521,42.3427,35.0025,-0.0778,-0.0925,34.865
2021-02-04 12:00:00,34.7641,35.0062,35.2482,35.065,43.0023,35.0062,-0.0761,-0.0961,34.9087
2021-02-04 11:00:00,34.7711,35.0108,35.2505,35.0758,42.7518,35.0108,-0.0772,-0.1011,34.896
2021-02-04 10:00:00,34.7565,35.0069,35.2574,35.0882,43.3906,35.0069,-0.0762,-0.1071,34.94
2021-02-04 09:00:00,34.7488,35.0041,35.2594,35.0984,44.2623,35.0041,-0.0783,-0.1148,35.0
2021-02-04 08:00:00,34.6757,34.9876,35.2995,35.1052,44.2623,34.9876,-0.086,-0.1239,35.0
2021-02-04 07:00:00,34.6559,34.9793,35.3026,35.1125,44.2623,34.9793,-0.0945,-0.1334,35.0
2021-02-04 06:00:00,34.4872,35.0176,35.548,35.1202,45.5009,35.0176,-0.104,-0.1432,35.09
2021-02-04 05:00:00,34.4357,35.0426,35.6495,35.1223,45.1713,35.0426,-0.1237,-0.153,35.07
2021-02-03 20:00:00,34.4212,35.0603,35.6993,35.1259,42.1264,35.0603,-0.1451,-0.1603,34.89
2021-02-03 19:00:00,34.3784,35.0973,35.8162,35.1422,42.1264,35.0973,-0.152,-0.1641,34.89
2021-02-03 18:00:00,34.3516,35.1339,35.9162,35.1596,42.1264,35.1339,-0.1586,-0.1671,34.89
2021-02-03 17:00:00,34.3476,35.1663,35.9849,35.1781,41.4739,35.1663,-0.1647,-0.1692,34.85
2021-02-03 16:00:00,34.3542,35.1996,36.045,35.2008,41.314,35.1996,-0.166,-0.1704,34.84
2021-02-03 15:00:00,34.3657,35.2343,36.1028,35.2257,42.0356,35.2343,-0.1642,-0.1715,34.905
2021-02-03 14:00:00,34.3789,35.2658,36.1526,35.2478,42.6448,35.2658,-0.1661,-0.1733,34.96
2021-02-03 13:00:00,34.3948,35.2934,36.1921,35.2676,40.4452,35.2934,-0.1718,-0.1751,34.815
2021-02-03 12:00:00,34.4263,35.3276,36.2289,35.2988,41.1287,35.3276,-0.1618,-0.1759,34.88
2021-02-03 11:00:00,34.4551,35.3603,36.2655,35.3277,41.8117,35.3603,-0.1532,-0.1795,34.945
2021-02-03 10:00:00,34.4794,35.3931,36.3068,35.3541,43.7005,35.3931,-0.1468,-0.186,35.12
2021-02-03 09:00:00,34.4929,35.4197,36.3466,35.3703,44.1411,35.4197,-0.1541,-0.1959,35.16
2021-02-03 08:00:00,34.51,35.4402,36.3704,35.3848,43.7298,35.4402,-0.1654,-0.2063,35.13
2021-02-03 07:00:00,34.5283,35.4666,36.4048,35.4023,44.3613,35.4666,-0.1743,-0.2165,35.19
2021-02-03 06:00:00,34.5401,35.4952,36.4504,35.417,45.2027,35.4952,-0.1893,-0.2271,35.27
2021-02-03 05:00:00,34.5481,35.5226,36.4971,35.4271,44.8234,35.5226,-0.2138,-0.2365,35.24
2021-02-02 20:00:00,34.5581,35.5536,36.5491,35.44,42.7812,35.5536,-0.2389,-0.2422,35.08
2021-02-02 19:00:00,34.5822,35.5929,36.6036,35.4648,43.0701,35.5929,-0.2511,-0.2431,35.11
2021-02-02 18:00:00,34.613,35.6286,36.6441,35.4893,43.164,35.6286,-0.2662,-0.241,35.12
2021-02-02 17:00:00,34.6524,35.6569,36.6615,35.5148,42.0647,35.6569,-0.2825,-0.2348,35.03
2021-02-02 16:00:00,34.7055,35.6882,36.671,35.5482,41.5793,35.6882,-0.2901,-0.2228,34.99
2021-02-02 15:00:00,34.7684,35.7196,36.6707,35.5867,41.4013,35.7196,-0.2915,-0.206,34.975
2021-02-02 14:00:00,34.839,35.7521,36.6651,35.6289,42.0033,35.7521,-0.2875,-0.1846,35.048
2021-02-02 13:00:00,34.9044,35.7801,36.6559,35.669,38.8475,35.7801,-0.2857,-0.1589,34.78
2021-02-02 12:00:00,35.0227,35.8159,36.6091,35.7303,39.4279,35.8159,-0.2519,-0.1272,34.855
2021-02-02 11:00:00,35.1356,35.8452,36.5548,35.7906,35.0505,35.8452,-0.2128,-0.096,34.505
2021-02-02 10:00:00,35.3785,35.8867,36.395,35.8793,36.8527,35.8867,-0.1241,-0.0668,34.75
2021-02-02 09:00:00,35.6438,35.9297,36.2157,35.9572,51.4706,35.9297,-0.034,-0.0525,36.15
2021-02-02 08:00:00,35.6171,35.9376,36.258,35.9439,46.968,35.9376,-0.0611,-0.0571,35.84
2021-02-02 07:00:00,35.595,35.9569,36.3188,35.9511,43.0109,35.9569,-0.0633,-0.0561,35.6
2021-02-02 06:00:00,35.4264,36.0139,36.6014,35.9753,48.8881,36.0139,-0.0406,-0.0543,36.0
2021-02-02 05:00:00,35.4285,36.0162,36.604,35.9736,48.7187,36.0162,-0.0519,-0.0577,35.99
2021-02-01 20:00:00,35.4288,36.0166,36.6043,35.9724,46.4908,36.0166,-0.0645,-0.0592,35.86
2021-02-01 19:00:00,35.4341,36.0196,36.605,35.9802,46.3174,36.0196,-0.0664,-0.0578,35.85
2021-02-01 18:00:00,35.4402,36.0229,36.6055,35.9892,46.7569,36.0229,-0.0668,-0.0557,35.88
2021-02-01 17:00:00,35.4486,36.0289,36.6092,35.9967,46.264,36.0289,-0.0695,-0.0529,35.85
2021-02-01 16:00:00,35.4606,36.0379,36.6152,36.0068,45.2848,36.0379,-0.0688,-0.0488,35.79
2021-02-01 15:00:00,35.479,36.0516,36.6242,36.0218,45.9595,36.0516,-0.0608,-0.0438,35.84
2021-02-01 14:00:00,35.4928,36.0602,36.6276,36.0343,46.2579,36.0602,-0.0548,-0.0395,35.8624
2021-02-01 13:00:00,35.4927,36.0601,36.6276,36.0461,47.1081,36.0601,-0.0487,-0.0356,35.9268
2021-02-01 12:00:00,35.4975,36.0631,36.6287,36.0544,47.0087,36.0631,-0.0467,-0.0324,35.92
2021-02-01 11:00:00,35.5054,36.0686,36.6317,36.0636,44.873,36.0686,-0.0427,-0.0288,35.775
2021-02-01 10:00:00,35.5239,36.0768,36.6296,36.0835,46.6921,36.0768,-0.0223,-0.0253,35.92
2021-02-01 09:00:00,35.533,36.0829,36.6328,36.0948,48.3922,36.0829,-0.0107,-0.0261,36.05
2021-02-01 08:00:00,35.5362,36.0865,36.6369,36.0979,48.922,36.0865,-0.009,-0.0299,36.09
2021-02-01 07:00:00,35.5317,36.0832,36.6347,36.0985,49.98,36.0832,-0.0107,-0.0351,36.17
2021-02-01 06:00:00,35.5273,36.0782,36.6292,36.0935,51.1837,36.0782,-0.0209,-0.0412,36.26
2021-02-01 05:00:00,35.5235,36.0705,36.6175,36.082,50.1521,36.0705,-0.0428,-0.0463,36.18
2021-01-29 20:00:00,35.5227,36.0685,36.6144,36.0753,47.3278,36.0685,-0.062,-0.0472,35.97
2021-01-29 19:00:00,35.5253,36.0702,36.6151,36.0825,47.3278,36.0702,-0.0641,-0.0435,35.97
2021-01-29 18:00:00,35.5228,36.0689,36.615,36.0903,46.7912,36.0689,-0.066,-0.0384,35.93
2021-01-29 17:00:00,35.5175,36.0665,36.6156,36.1014,47.0227,36.0665,-0.0633,-0.0315,35.95
2021-01-29 16:00:00,35.511,36.0635,36.6161,36.1118,46.2514,36.0635,-0.0609,-0.0235,35.89
2021-01-29 15:00:00,35.511,36.0635,36.6161,36.1271,45.7757,36.0635,-0.051,-0.0142,35.8526
2021-01-29 14:00:00,35.514,36.0648,36.6156,36.146,44.2767,36.0648,-0.0337,-0.005,35.735
2021-01-29 13:00:00,35.528,36.0696,36.6112,36.1744,44.4281,36.0696,0.0008,0.0022,35.75
2021-01-29 12:00:00,35.5425,36.0747,36.607,36.2036,47.4619,36.0747,0.0433,0.0026,36.04
2021-01-29 11:00:00,35.5395,36.0727,36.6059,36.2149,51.5066,36.0727,0.0674,-0.0076,36.385
2021-01-29 10:00:00,35.5397,36.0604,36.5811,36.2032,51.9407,36.0604,0.062,-0.0263,36.42
2021-01-29 09:00:00,35.5425,36.0462,36.5499,36.1883,65.5123,36.0462,0.0507,-0.0484,37.31
2021-01-29 08:00:00,35.8193,36.0021,36.1848,36.1109,46.7856,36.0021,-0.0551,-0.0732,36.07
