date,Middle BBand,Lower BBand,Upper BBand,EMA,RSI,SMA,MACD Signal,MACD,Closing Price
2021-01-22 12:00:00,224.7332,221.8321,227.6343,224.2783,64.7308,224.7332,1.283,1.4668,227.5332
2021-01-22 11:00:00,224.6186,221.9033,227.3339,224.0538,70.6978,224.6186,1.237,1.4437,229.2264
2021-01-22 10:00:00,224.4546,222.3458,226.5634,223.6971,69.953,224.4546,1.1854,1.2208,228.7554
2021-01-22 09:00:00,224.276,222.861,225.691,223.3482,63.2837,224.276,1.1765,0.9665,225.2734
2021-01-22 08:00:00,224.2101,222.8031,225.6172,223.2154,63.3226,224.2101,1.229,0.9823,225.2834
2021-01-22 07:00:00,224.0565,222.2128,225.9002,223.0728,62.1987,224.0565,1.2907,0.9873,224.7845
2021-01-22 06:00:00,223.8027,220.7384,226.8671,222.9548,60.3178,223.8027,1.3665,1.03,223.9864
2021-01-22 05:00:00,223.5793,219.7249,227.4336,222.8836,61.501,223.5793,1.4506,1.1508,224.3056
2021-01-21 20:00:00,223.3318,218.8019,227.8617,222.7856,62.9178,223.3318,1.5256,1.2558,224.6848
2021-01-21 19:00:00,223.0914,218.1291,228.0537,222.6546,63.967,223.0914,1.593,1.3329,224.964
2021-01-21 18:00:00,222.8243,217.4488,228.1998,222.4953,62.9428,222.8243,1.6581,1.3836,224.4852
2021-01-21 17:00:00,222.5589,216.7676,228.3503,222.3581,62.9428,222.5589,1.7267,1.4768,224.4852
2021-01-21 16:00:00,222.2939,216.1616,228.4262,222.2114,62.7366,222.2939,1.7892,1.5743,224.3854
2021-01-21 15:00:00,222.0268,215.5918,228.4619,222.0614,66.3037,222.0268,1.8429,1.6861,225.3832
2021-01-21 14:00:00,221.7209,215.0836,228.3581,221.8323,65.3711,221.7209,1.8821,1.7026,224.8943
2021-01-21 13:00:00,221.4225,214.5813,228.2638,221.6212,68.357,221.4225,1.927,1.7486,225.6924
2021-01-21 12:00:00,221.0906,214.1448,228.0364,221.3404,66.3809,221.0906,1.9715,1.7008,224.6299
2021-01-21 11:00:00,220.7857,213.6867,227.8847,221.1135,65.1727,220.7857,2.0392,1.7231,224.0193
2021-01-21 10:00:00,220.4687,213.1301,227.8072,220.9131,62.3526,220.4687,2.1183,1.7887,222.7027
2021-01-21 09:00:00,220.1495,212.4054,227.8935,220.7897,67.5042,220.1495,2.2007,1.9805,223.9864
2021-01-21 08:00:00,219.7959,211.82,227.7719,220.5693,67.3013,219.7959,2.2557,2.0657,223.8866
2021-01-21 07:00:00,219.4557,211.3373,227.5742,220.3405,66.9015,219.4557,2.3032,2.1546,223.687
2021-01-21 06:00:00,219.0999,210.8202,227.3795,220.1097,66.1004,219.0999,2.3404,2.2571,223.288
2021-01-21 05:00:00,218.7666,210.384,227.1493,219.8905,65.0791,218.7666,2.3612,2.3957,222.7891
2021-01-20 20:00:00,218.458,210.009,226.907,219.6906,74.545,218.458,2.3526,2.5886,224.9641
2021-01-20 19:00:00,218.0898,209.8469,226.3328,219.3269,73.0133,218.0898,2.2936,2.5757,224.0861
2021-01-20 18:00:00,217.7533,209.6947,225.8119,218.9987,72.7793,217.7533,2.223,2.6111,223.9564
2021-01-20 17:00:00,217.3535,209.376,225.331,218.6568,72.9203,217.3535,2.126,2.6315,223.9864
2021-01-20 16:00:00,216.9498,209.1315,224.7681,218.2892,72.3684,216.9498,1.9997,2.6162,223.6671
2021-01-20 15:00:00,216.5643,208.9718,224.1569,217.9183,74.9427,216.5643,1.8455,2.5912,224.2237
2021-01-20 14:00:00,216.1563,208.9483,223.3644,217.4835,74.7436,216.1563,1.6591,2.4649,224.0961
2021-01-20 13:00:00,215.7563,209.0398,222.4728,217.0274,75.6983,215.7563,1.4576,2.2809,224.3056
2021-01-20 12:00:00,215.3805,209.3979,221.363,216.5255,74.3246,215.3805,1.2518,1.9914,223.3977
2021-01-20 11:00:00,215.0414,209.8088,220.274,216.0515,74.1695,215.0414,1.0669,1.6855,223.2979
2021-01-20 10:00:00,214.6869,210.3807,218.993,215.5518,69.4825,214.6869,0.9123,1.2806,220.6739
