date,Upper BBand,Lower BBand,Middle BBand,EMA,RSI,SMA,MACD Signal,MACD,Closing Price
2021-01-28 12:00:00,15.0005,12.4811,13.7408,13.8386,52.9108,13.7408,0.182,0.1616,14.14
2021-01-28 11:00:00,14.9763,12.4381,13.7072,13.8178,52.7664,13.7072,0.1871,0.1641,14.1203
2021-01-28 10:00:00,14.9485,12.4052,13.6769,13.7969,51.4486,13.6769,0.1928,0.1669,13.94
2021-01-28 09:00:00,14.941,12.3414,13.6412,13.7871,55.6975,13.6412,0.1993,0.1864,14.45
2021-01-28 08:00:00,14.8729,12.3255,13.5992,13.7414,52.0171,13.5992,0.2025,0.1567,13.96
2021-01-28 07:00:00,14.8481,12.307,13.5775,13.7263,48.6509,13.5775,0.214,0.1663,13.56
2021-01-28 06:00:00,14.8441,12.299,13.5715,13.7378,52.5727,13.5715,0.2259,0.2169,14.0
2021-01-28 05:00:00,14.8146,12.2851,13.5499,13.7197,54.5032,13.5499,0.2281,0.2336,14.2
2021-01-27 20:00:00,14.7637,12.266,13.5149,13.6865,51.4898,13.5149,0.2267,0.2311,13.85
2021-01-27 19:00:00,14.7408,12.2489,13.4949,13.6753,52.4492,13.4949,0.2257,0.2601,13.95
2021-01-27 18:00:00,14.7083,12.2301,13.4692,13.6563,53.0223,13.4692,0.217,0.2833,14.01
2021-01-27 17:00:00,14.6684,12.2174,13.4429,13.6319,53.3038,13.4429,0.2005,0.3026,14.04
2021-01-27 16:00:00,14.6234,12.2097,13.4165,13.6038,54.9003,13.4165,0.175,0.3197,14.21
2021-01-27 15:00:00,14.5564,12.2143,13.3853,13.562,54.3561,13.3853,0.1388,0.3197,14.14
2021-01-27 14:00:00,14.4914,12.2086,13.35,13.5221,61.7659,13.35,0.0935,0.3221,14.86
2021-01-27 13:00:00,14.2889,12.2811,13.285,13.4298,63.0856,13.285,0.0364,0.2472,14.9743
2021-01-27 12:00:00,14.0071,12.4346,13.2208,13.3233,60.4989,13.2208,-0.0163,0.1364,14.6119
2021-01-27 11:00:00,13.7652,12.5606,13.1629,13.2345,59.5004,13.1629,-0.0545,0.0298,14.48
2021-01-27 10:00:00,13.4902,12.7144,13.1023,13.1486,45.8264,13.1023,-0.0756,-0.0932,13.1175
2021-01-27 09:00:00,13.4938,12.7155,13.1047,13.1507,38.6637,13.1047,-0.0712,-0.1101,12.63
2021-01-27 08:00:00,13.4799,12.7742,13.127,13.1866,40.3566,13.127,-0.0615,-0.0804,12.79
2021-01-27 07:00:00,13.4853,12.8067,13.146,13.214,42.2569,13.146,-0.0568,-0.0577,12.96
2021-01-27 06:00:00,13.5046,12.8168,13.1607,13.2315,43.5393,13.1607,-0.0565,-0.0452,13.07
2021-01-27 05:00:00,13.5321,12.8153,13.1737,13.2426,43.5393,13.1737,-0.0594,-0.0397,13.07
2021-01-26 20:00:00,13.551,12.819,13.185,13.2545,46.9265,13.185,-0.0643,-0.0322,13.35
2021-01-26 19:00:00,13.5529,12.8184,13.1857,13.2479,46.9265,13.1857,-0.0723,-0.0506,13.35
2021-01-26 18:00:00,13.558,12.8167,13.1874,13.2409,42.6034,13.1874,-0.0778,-0.0733,13.0599
2021-01-26 17:00:00,13.5699,12.8248,13.1974,13.2534,42.6045,13.1974,-0.0789,-0.0718,13.06
2021-01-26 16:00:00,13.5825,12.8335,13.208,13.2667,42.3018,13.208,-0.0807,-0.0688,13.04
2021-01-26 15:00:00,13.5944,12.845,13.2197,13.2824,44.4554,13.2197,-0.0837,-0.0619,13.23
2021-01-26 14:00:00,13.6032,12.8458,13.2245,13.286,43.0148,13.2245,-0.0891,-0.0716,13.1324
2021-01-26 13:00:00,13.6084,12.852,13.2302,13.2966,43.8897,13.2302,-0.0935,-0.0729,13.21
2021-01-26 12:00:00,13.6127,12.8544,13.2336,13.3025,38.6003,13.2336,-0.0986,-0.0815,12.87
2021-01-26 11:00:00,13.5997,12.8908,13.2452,13.3324,42.2214,13.2452,-0.1029,-0.0566,13.19
2021-01-26 10:00:00,13.6144,12.8541,13.2342,13.3422,43.7078,13.2342,-0.1145,-0.0567,13.31
2021-01-26 09:00:00,13.6195,12.8203,13.2199,13.3444,44.593,13.2199,-0.1289,-0.0681,13.38
2021-01-26 08:00:00,13.6098,12.8047,13.2072,13.3419,44.1242,13.2072,-0.1441,-0.0888,13.35
2021-01-25 20:00:00,13.6058,12.7787,13.1922,13.3414,40.9015,13.1922,-0.158,-0.1109,13.15
