date,Lower BBBAND,Middle BBAND,Upper BBAND,EMA,RSI,SMA,MACD,MACD_Signal,Closing Price
2021-02-10 11:00:00,68.5665,70.6901,72.8137,69.9721,50.0318,70.6901,-0.2985,-0.4253,69.75
2021-02-10 10:00:00,68.5832,70.6971,72.811,69.9797,50.5169,70.6971,-0.3526,-0.457,69.95
2021-02-10 09:00:00,68.5647,70.6905,72.8162,69.9807,49.1597,70.6905,-0.4368,-0.4831,69.39
2021-02-10 08:00:00,68.6103,70.7095,72.8086,70.0007,48.8146,70.7095,-0.4809,-0.4947,69.25
2021-02-10 07:00:00,68.6366,70.7173,72.798,70.0261,47.7432,70.7173,-0.5159,-0.4982,68.82
2021-02-10 06:00:00,68.6799,70.728,72.776,70.067,47.9959,70.728,-0.5093,-0.4937,68.93
2021-02-10 05:00:00,68.7155,70.7368,72.7581,70.1056,49.3263,70.7368,-0.5047,-0.4898,69.5
2021-02-09 20:00:00,68.7108,70.7355,72.7601,70.1261,48.085,70.7355,-0.5496,-0.4861,69.0
2021-02-09 19:00:00,68.739,70.7425,72.7459,70.1643,48.6475,70.7425,-0.5479,-0.4703,69.24
2021-02-09 18:00:00,68.761,70.7485,72.7359,70.1956,48.4498,70.7485,-0.5622,-0.4508,69.16
2021-02-09 17:00:00,68.7793,70.7531,72.7269,70.2307,48.4727,70.7531,-0.5642,-0.423,69.17
2021-02-09 16:00:00,68.8054,70.76,72.7145,70.2666,47.7678,70.76,-0.5595,-0.3877,68.88
2021-02-09 15:00:00,68.8411,70.7681,72.6951,70.3137,48.9486,70.7681,-0.5159,-0.3447,69.4
2021-02-09 14:00:00,68.8212,70.7633,72.7054,70.3446,48.9008,70.7633,-0.5057,-0.3019,69.38
2021-02-09 13:00:00,68.8373,70.7678,72.6983,70.3773,49.4699,70.7678,-0.4832,-0.251,69.63
2021-02-09 12:00:00,68.8088,70.7603,72.7118,70.4027,47.822,70.7603,-0.4729,-0.193,68.94
2021-02-09 11:00:00,68.8165,70.762,72.7074,70.4522,47.283,70.762,-0.3827,-0.123,68.72
2021-02-09 10:00:00,68.8713,70.7741,72.677,70.511,49.333,70.7741,-0.2396,-0.0581,69.62
2021-02-09 09:00:00,68.8444,70.7671,72.6899,70.5412,51.812,70.7671,-0.145,-0.0127,70.63
2021-02-09 08:00:00,68.7664,70.7403,72.7142,70.5381,51.1912,70.7403,-0.1251,0.0204,70.37
2021-02-08 20:00:00,68.664,70.7108,72.7575,70.5438,52.3388,70.7108,-0.0714,0.0568,70.82
2021-02-08 19:00:00,68.5489,70.6721,72.7954,70.5345,52.9091,70.6721,-0.0476,0.0888,71.04
2021-02-08 18:00:00,68.4546,70.6335,72.8123,70.5173,52.7711,70.6335,-0.0389,0.1229,70.98
2021-02-08 17:00:00,68.3618,70.5951,72.8284,70.5017,52.7711,70.5951,-0.0212,0.1634,70.98
2021-02-08 16:00:00,68.2735,70.557,72.8404,70.4854,52.1382,70.557,0.0018,0.2095,70.7
2021-02-08 15:00:00,68.1957,70.5246,72.8535,70.4782,52.9607,70.5246,0.0596,0.2614,71.03
2021-02-08 14:00:00,68.0763,70.4771,72.878,70.4595,52.2651,70.4771,0.0988,0.3119,70.72
2021-02-08 13:00:00,67.9556,70.433,72.9104,70.4506,52.76,70.433,0.1791,0.3652,70.92
2021-02-08 12:00:00,67.8561,70.3894,72.9226,70.4347,52.76,70.3894,0.2585,0.4117,70.92
2021-02-08 11:00:00,67.6998,70.3328,72.9658,70.4183,53.8196,70.3328,0.3562,0.45,71.35
2021-02-08 10:00:00,67.5046,70.2599,73.0153,70.3867,54.8268,70.2599,0.4319,0.4734,71.75
2021-02-08 09:00:00,67.2798,70.1721,73.0644,70.3405,56.6244,70.1721,0.4815,0.4838,72.44
2021-02-08 08:00:00,67.068,70.0689,73.0699,70.2693,56.2771,70.0689,0.4676,0.4844,72.27
2021-02-08 07:00:00,66.8225,69.9611,73.0997,70.2015,56.4601,69.9611,0.4603,0.4886,72.34
2021-02-08 06:00:00,66.617,69.8551,73.0932,70.129,55.8141,69.8551,0.4372,0.4956,72.02
2021-02-05 20:00:00,66.4177,69.7544,73.0911,70.0649,55.6117,69.7544,0.4339,0.5103,71.92
2021-02-05 18:00:00,66.2259,69.6546,73.0833,70.002,54.9214,69.6546,0.4335,0.5294,71.58
2021-02-05 17:00:00,66.0237,69.5574,73.0912,69.9485,54.7586,69.5574,0.4614,0.5533,71.5
2021-02-05 16:00:00,65.8331,69.4616,73.0901,69.8959,54.856,69.4616,0.4984,0.5763,71.54
2021-02-05 15:00:00,65.6558,69.3651,73.0744,69.8402,55.3034,69.3651,0.5344,0.5958,71.725
2021-02-05 14:00:00,65.4947,69.2655,73.0364,69.7763,54.3435,69.2655,0.5536,0.6112,71.24
2021-02-05 13:00:00,65.3281,69.1729,73.0176,69.7267,55.739,69.1729,0.6195,0.6255,71.815
2021-02-05 12:00:00,65.1678,69.0666,72.9654,69.6559,55.4159,69.0666,0.6361,0.627,71.65
2021-02-05 11:00:00,65.0113,68.9624,72.9134,69.5883,56.0498,68.9624,0.6648,0.6248,71.91
2021-02-05 10:00:00,64.8788,68.8547,72.8306,69.5096,57.6715,68.8547,0.6652,0.6148,72.56
2021-02-05 09:00:00,64.7553,68.7295,72.7038,69.4062,55.3043,68.7295,0.59,0.6022,71.35
2021-02-05 08:00:00,64.6314,68.6317,72.632,69.3403,56.1464,68.6317,0.6086,0.6052,71.68
2021-02-05 07:00:00,64.5457,68.5329,72.52,69.261,55.9866,68.5329,0.5898,0.6044,71.6
2021-02-05 06:00:00,64.4742,68.4374,72.4005,69.1817,56.1879,68.4374,0.5654,0.608,71.68
2021-02-04 20:00:00,64.4601,68.355,72.25,69.097,53.5612,68.355,0.518,0.6187,70.4
2021-02-04 19:00:00,64.4036,68.29,72.1765,69.0528,54.6178,68.29,0.5802,0.6439,70.82
2021-02-04 18:00:00,64.3749,68.223,72.0711,68.9929,54.2373,68.223,0.6084,0.6598,70.64
