date,Lower BBand,Middle BBand,Upper BBand,EMA,RSI,SMA,MACD Signal,MACD,Closing Price
2021-02-10 16:00:00,10.8444,11.1201,11.3959,11.1511,61.4348,11.1201,0.0775,0.1055,11.39
2021-02-10 15:00:00,10.8443,11.1061,11.368,11.1346,64.399,11.1061,0.0705,0.1024,11.46
2021-02-10 14:00:00,10.8557,11.0888,11.3219,11.1122,62.6573,11.0888,0.0625,0.0899,11.39
2021-02-10 13:00:00,10.8645,11.0741,11.2838,11.093,61.3517,11.0741,0.0556,0.0798,11.34
2021-02-10 12:00:00,10.8756,11.0625,11.2494,11.076,61.9801,11.0625,0.0496,0.0708,11.355
2021-02-10 11:00:00,10.8961,11.0501,11.2041,11.0567,59.9998,11.0501,0.0443,0.0568,11.28
2021-02-10 10:00:00,10.9143,11.0425,11.1707,11.0413,56.4951,11.0425,0.0411,0.0457,11.16
2021-02-10 09:00:00,10.9179,11.0385,11.159,11.0331,54.9036,11.0385,0.04,0.0431,11.11
2021-02-09 20:00:00,10.9114,11.0331,11.1547,11.0278,56.0938,11.0331,0.0392,0.0442,11.14
2021-02-09 17:00:00,10.913,11.0284,11.1439,11.0201,55.4717,11.0284,0.038,0.0419,11.12
2021-02-09 16:00:00,10.9137,11.0244,11.1352,11.0132,55.4717,11.0244,0.037,0.0404,11.12
2021-02-09 15:00:00,10.8822,11.0138,11.1453,11.0058,56.028,11.0138,0.0362,0.038,11.135
2021-02-09 14:00:00,10.8822,11.0076,11.133,10.9969,54.6777,11.0076,0.0357,0.0328,11.0889
2021-02-09 13:00:00,10.8787,11.0026,11.1266,10.9906,53.8183,11.0026,0.0365,0.0303,11.06
2021-02-09 12:00:00,10.8736,10.9983,11.123,10.9858,52.7698,10.9983,0.038,0.0297,11.025
2021-02-09 11:00:00,10.8637,10.9938,11.1239,10.9831,53.2708,10.9938,0.04,0.0321,11.04
2021-02-09 10:00:00,10.8311,10.9845,11.1379,10.9792,50.8655,10.9845,0.042,0.0331,10.96
2021-02-09 09:00:00,10.8104,10.9788,11.1472,10.9805,52.8373,10.9788,0.0443,0.042,11.02
2021-02-09 08:00:00,10.7921,10.9715,11.1509,10.9778,54.1911,10.9715,0.0449,0.0467,11.06
2021-02-08 18:00:00,10.7716,10.9618,11.152,10.9721,55.2167,10.9618,0.0444,0.048,11.09
2021-02-08 17:00:00,10.7634,10.9532,11.1429,10.964,55.2167,10.9532,0.0435,0.0458,11.09
2021-02-08 16:00:00,10.7599,10.9455,11.1311,10.9553,54.6824,10.9455,0.0429,0.0424,11.07
2021-02-08 15:00:00,10.7511,10.9368,11.1226,10.9474,54.1536,10.9368,0.0431,0.0394,11.05
2021-02-08 14:00:00,10.7505,10.9318,11.1132,10.9403,52.1288,10.9318,0.044,0.0371,10.975
2021-02-08 13:00:00,10.7484,10.9293,11.1103,10.9379,52.2776,10.9293,0.0457,0.0412,10.98
2021-02-08 12:00:00,10.7445,10.9257,11.1068,10.935,53.3102,10.9257,0.0468,0.0454,11.0151
2021-02-08 11:00:00,10.735,10.9185,11.102,10.9295,52.4013,10.9185,0.0472,0.0465,10.98
2021-02-08 10:00:00,10.7146,10.9098,11.105,10.926,53.2579,10.9098,0.0473,0.0508,11.01
2021-02-08 09:00:00,10.6898,10.8987,11.1075,10.9202,56.851,10.8987,0.0464,0.0525,11.13
2021-02-05 20:00:00,10.6699,10.882,11.0941,10.9058,52.4585,10.882,0.0449,0.0417,10.96
2021-02-05 17:00:00,10.6499,10.8725,11.0951,10.902,52.764,10.8725,0.0457,0.0446,10.97
2021-02-05 16:00:00,10.6356,10.8635,11.0914,10.8973,51.9527,10.8635,0.046,0.0467,10.94
2021-02-05 15:00:00,10.6196,10.8548,11.0901,10.8944,52.2389,10.8548,0.0459,0.0516,10.9499
2021-02-05 14:00:00,10.5976,10.844,11.0904,10.8905,53.3905,10.844,0.0444,0.0562,10.99
2021-02-05 13:00:00,10.5889,10.8343,11.0798,10.8837,53.2663,10.8343,0.0415,0.0572,10.985
2021-02-05 12:00:00,10.5757,10.8232,11.0707,10.8767,55.1115,10.8232,0.0375,0.0581,11.05
2021-02-05 11:00:00,10.5629,10.8082,11.0534,10.8648,54.8791,10.8082,0.0324,0.0518,11.04
2021-02-05 10:00:00,10.5657,10.7973,11.029,10.8527,52.7231,10.7973,0.0275,0.044,10.9489
2021-02-05 09:00:00,10.5627,10.7894,11.016,10.846,54.1254,10.7894,0.0234,0.0427,11.0
2021-02-05 07:00:00,10.5665,10.7802,10.9939,10.8354,54.1254,10.7802,0.0186,0.0352,11.0
2021-02-04 20:00:00,10.5758,10.7735,10.9713,10.8241,49.1849,10.7735,0.0145,0.0251,10.8001
2021-02-04 19:00:00,10.5619,10.7674,10.9728,10.8257,53.3498,10.7674,0.0118,0.0323,10.95
2021-02-04 17:00:00,10.5672,10.7644,10.9615,10.8171,53.0936,10.7644,0.0067,0.0256,10.94
2021-02-04 16:00:00,10.5708,10.7627,10.9546,10.8087,52.8433,10.7627,0.0019,0.0178,10.93
2021-02-04 15:00:00,10.573,10.7617,10.9504,10.8003,51.8499,10.7617,-0.002,0.0086,10.89
2021-02-04 14:00:00,10.5693,10.7634,10.9574,10.7941,48.4681,10.7634,-0.0047,0.0008,10.7611
2021-02-04 13:00:00,10.5702,10.7647,10.9591,10.7964,49.2173,10.7647,-0.0061,0.004,10.79
2021-02-04 12:00:00,10.57,10.7643,10.9587,10.7968,49.4731,10.7643,-0.0086,0.005,10.8
2021-02-04 11:00:00,10.57,10.7645,10.959,10.7966,48.6999,10.7645,-0.012,0.0052,10.77
2021-02-04 10:00:00,10.5705,10.7652,10.9598,10.7984,50.1846,10.7652,-0.0163,0.0085,10.83
2021-02-04 09:00:00,10.5677,10.7615,10.9553,10.7963,50.9351,10.7615,-0.0225,0.0064,10.86
2021-02-04 08:00:00,10.5681,10.7585,10.9488,10.7919,49.7237,10.7585,-0.0298,0.0006,10.81
2021-02-03 19:00:00,10.5589,10.7528,10.9468,10.7906,51.9557,10.7528,-0.0374,-0.0017,10.9
2021-02-03 18:00:00,10.5504,10.7558,10.9612,10.7831,51.9557,10.7558,-0.0463,-0.0138,10.9
2021-02-03 17:00:00,10.4981,10.7678,11.0375,10.775,51.2744,10.7678,-0.0544,-0.0291,10.87
2021-02-03 16:00:00,10.4583,10.7812,11.1041,10.7685,49.6645,10.7812,-0.0607,-0.0451,10.8
2021-02-03 15:00:00,10.4424,10.7933,11.1442,10.7663,47.7575,10.7933,-0.0646,-0.0577,10.72
2021-02-03 14:00:00,10.4313,10.809,11.1867,10.7695,46.6587,10.809,-0.0663,-0.0648,10.675
2021-02-03 13:00:00,10.4357,10.8228,11.2098,10.776,45.5491,10.8228,-0.0667,-0.0684,10.6299
2021-02-03 12:00:00,10.4477,10.8372,11.2267,10.7861,46.4838,10.8372,-0.0663,-0.0674,10.675
2021-02-03 11:00:00,10.4589,10.8484,11.2378,10.7937,47.0006,10.8484,-0.066,-0.0697,10.7
2021-02-03 10:00:00,10.4692,10.8552,11.2411,10.8002,46.541,10.8552,-0.0651,-0.0742,10.68
2021-02-03 09:00:00,10.4823,10.8639,11.2455,10.8085,45.277,10.8639,-0.0628,-0.0768,10.6249
2021-02-03 08:00:00,10.498,10.8809,11.2639,10.8212,46.7328,10.8809,-0.0594,-0.0733,10.7
2021-02-02 17:00:00,10.5044,10.8975,11.2906,10.8295,45.6073,10.8975,-0.0559,-0.0755,10.65
2021-02-02 16:00:00,10.5247,10.9117,11.2988,10.8419,44.4731,10.9117,-0.0509,-0.0722,10.6
2021-02-02 15:00:00,10.5541,10.9277,11.3012,10.8586,46.6351,10.9277,-0.0456,-0.0618,10.715
2021-02-02 14:00:00,10.5715,10.9381,11.3048,10.8685,46.5258,10.9381,-0.0416,-0.0592,10.71
2021-02-02 13:00:00,10.5906,10.9478,11.3051,10.8794,46.8037,10.9478,-0.0372,-0.0547,10.725
2021-02-02 12:00:00,10.6094,10.958,11.3065,10.89,48.195,10.958,-0.0328,-0.0496,10.8
2021-02-02 11:00:00,10.6206,10.9643,11.3081,10.8963,44.2429,10.9643,-0.0286,-0.05,10.615
2021-02-02 10:00:00,10.6592,10.9778,11.2965,10.9157,49.0315,10.9778,-0.0233,-0.0309,10.86
2021-02-02 09:00:00,10.6608,10.9785,11.2963,10.9195,49.6678,10.9785,-0.0214,-0.0311,10.89
2021-02-02 08:00:00,10.6517,10.9752,11.2986,10.9215,49.8763,10.9752,-0.019,-0.034,10.9
2021-02-01 18:00:00,10.6231,10.9667,11.3103,10.923,50.6995,10.9667,-0.0152,-0.0381,10.94
